review_score,translated_message
5,Positive Review
5,Positive Review
4,Positive Review
5,Show
5,Product beyond expectations!
4,Positive Review
5,"The product arrived anted from the deadline, which was great because it was present, well packed and just like the announced."
5,Positive Review
4,All perfect
5,Great product recommend
4,Positive Review
5,"Very good delivery and was on time. Alias ​​was delivered before, without any defect."
5,Positive Review
3,Quality product! But next time I will pay attention to the characteristics of the product! Unfortunately it is small for my use! Even so I leave clear again that the product has great quality
5,Positive Review
4,"I liked the service, I recommend"
5,Positive Review
5,Congratulations on the agility
3,Neutral Review
4,Product suitable for my needs and easy to assemble.
5,"I loved the pendant, comes in the box and with warranty certificate."
5,I recommend.
4,Positive Review
5,Positive Review
5,Positive Review
5,Positive Review
1,Negative Review
3,Very good.
5,"I was super satisfied with the acquisition of friendship necklaces, are very beautiful and well finished, my 08 year old granddaughter and the best friends were super happy, thanks for the quick delivery."
5,Positive Review
1,So far I haven't received it and I'm paying
5,"I really liked it, I will use in lectures."
4,Positive Review
5,Positive Review
1,I didn't receive my product!
5,Positive Review
4,Positive Review
3,Chigling
1,I did not receive the rpoduto in my residence.
5,Positive Review
1,"Product has not arrived, and has already passed the delivery time"
5,It arrived before the deadline and came correct.
4,The product arrived in my city but not in my residence because the post office is a faulty organ with it did not take to my house I had the inconvenience to pick the object from the headquarters but close
5,"Good partner, my product arrived before the deadline."
5,Positive Review
1,I sent an email so far I haven't gotten an answer. My product has not arrived ...
5,Positive Review
1,"The product was not delivered to my residence, having me, which makes time to go to the mail to remove the product.

thank you very much.
Rosana"
1,"Goodnight, 
I went to check the progress of the product and viewed in the email that the product had been delivered, and I received nothing.
I await answer.
What is going on anyway?"
4,"Delivered well before the deadline, with quality and safety."
5,Great product and easy replacement on the device. It took me even 2 min for exchange
4,Positive Review
5,Positive Review
5,It's already my second order with this store and everything worked very well.
4,"I recommend this store, but because of the post office, there was delay in delivery."
5,Positive Review
4,Positive Review
5,I recommend very good product
5,"Seriousness in the service, congratulations."
1,"I made the purchase and the PGTO on MSM day and it was confirmed in 1 day. It took weeks to issue the invoice. The note was issued, but until today the product was not P Transportation. That is, I never even saw it!"
1,Negative Review
4,Positive Review
5,All perfect
5,Very good and still sent a beautiful toast together !! I recommend.
5,Positive Review
1,"For the second time there was a problem in purchase via the internet. First it was with a climate control that mendated me with divergent voltage.
Now with request made in the second week of March and"
5,Positive Review
5,Positive Review
5,"I really liked the product, for the soft"
5,Positive Review
5,Positive Review
5,Positive Review
4,Positive Review
5,Positive Review
5,Positive Review
5,Positive Review
4,It takes too long to deliver
5,Great delivery. Very good product
3,The product has not yet been delivered. I await SAC contact
2,"Everything went well. The product arrived even before the deadline, but the cell phone battery I bought simply came inside an envelope, not protected and on top of that it doesn't work. I already asked for cancellation."
5,Positive Review
5,Positive Review
5,Positive Review
4,Positive Review
1,I will send the product back. I am waiting for the progress of the return request I made to Stark.
5,Great product.
5,recommend
5,Positive Review
5,"Excellent !
Thank you Stark, very recommended store."
4,Positive Review
5,"Product delivery made well before date, right size and items that were in the kit. Much better than expected."
4,"I received, but with delay in delivery. 
But product arrived with everything ok!"
4,Positive Review
5,Positive Review
4,Positive Review
5,"The delivery was very fast and came the correct product, but the quality of the bags left to be a little. Other than that excellent!"
5,Positive Review
5,Positive Review
5,Positive Review
3,Neutral Review
5,Positive Review
5,Positive Review
5,The delivery was well before expected. The product is of quality I come in a perfect packaging.
5,Positive Review
5,Positive Review
1,Negative Review
5,Positive Review
4,The kettle warms the water fast ... very good..the only thing is that she says whistle but never whistled ... but this has no problem because it can listen when it is boiling the water ... I recommend !!!
5,Positive Review
4,Positive Review
2,"The capinha The quality of the plastic from the inside is good the outside ""leather"" is good but the glass pelicle came broken and well broken, came well packed which indicates that it was packed since broken."
1,Negative Review
5,Positive Review
5,Recommend
5,Positive Review
5,faster than I've seen
5,Positive Review
5,I recommend the store ... My product arrived before the deadline is in perfect condition.
2,"The basket was received with one of the two hinges wrinkled and missing a two -side screw, which did not even have the screw in the wood, ie it was never placed."
4,Positive Review
5,Positive Review
5,"It arrived very fast well before the deadline, surprised me, 100% product as it is in the ad. Congratulations!"
5,Positive Review
3,Neutral Review
5,Positive Review
5,"appropriate packaging, delivered on time"
5,Positive Review
5,Positive Review
1,The product was not delivered!
5,It's really promised! Congratulations to the seller!
1,I really liked my product
5,"Arrived fast, sealed and well packed"
5,Great product large and easy to assemble I recommend it for sure
4,met my needs I liked it a lot
5,"I loved the bags, beautiful!"
3,Neutral Review
5,Positive Review
4,Positive Review
5,The product was delivered satisfactorily.
5,"Satisfied with product, with quality, delivery time."
1,"Product is not original as advertised, but compatible, I already asked for the return."
3,Neutral Review
4,Positive Review
1,"It is not recognized by my PC, which is the same updated with regard to drivers!"
5,VERY GOOD!
5,Positive Review
3,Neutral Review
1,Negative Review
3,Neutral Review
3,Neutral Review
5,Positive Review
5,"I received within the established deadline, products delivered in perfect condition"
1,Curtain product didn't come and now?
1,I have not received the product yet and I also received another msg signaling that it would be canceled
5,was delivered on time
5,Positive Review
4,"I liked the product but on delivery left something to be desired, and do not give customer information about delivery .. but the product is great and beautiful!"
5,Positive Review
5,Positive Review
3,Neutral Review
3,Neutral Review
5,Positive Review
5,very good arrived long before the delivery time
1,The product came with defect!
5,Positive Review
3,"now the third and the last of 181.40 is missing, I'm waiting"
1,"I've been trying to contact Stark and Targaryen for days to solve the problem.
Came only half of the order."
5,Positive Review
3,I needed a Galaxy S8 Edge cover other than plus. The wrong model came to the wrong model. I want to return it has no functionality for me.
4,"The clock is very beautiful and of good quality ... The delivery was long before expected. The only problem is that in the picture it looks gray, but it is black."
4,Positive Review
5,Positive Review
5,Positive Review
4,"Arrived on the right date, all as agreed"
5,Positive Review
4,Positive Review
5,I know the delay of delivery occurred due to the stoppage.
5,Positive Review
5,Positive Review
4,Positive Review
4,Positive Review
5,Positive Review
5,Positive Review
5,Positive Review
5,Positive Review
5,Positive Review
4,Positive Review
5,Positive Review
4,"Perverish case, like a glove. Pelicula was not perfect, with some air bubbles at the extremes"
5,Positive Review
4,Positive Review
1,I bought an original new HP cartridge and when it arrived here the product was remaniated
1,Negative Review
3,Neutral Review
4,Positive Review
3,Good
5,Positive Review
3,Neutral Review
2,I received partially.
5,Positive Review
5,Positive Review
4,Was delivered before the deadline
5,Positive Review
2,"On the site I bought the product the original packaged, including the highest price, but I received the product defiled, wrapped in plastic bubble very different from the original, different from what I bought."
5,Excellent arrived on time.
5,Product delivered before date
1,Mousse does not foam must be with problem how do I change. Do not buy if they do not exchange mine
4,Positive Review
5,Congratulations
5,CE Quality Product
5,Positive Review
5,Great product and quick delivery
2,"I did not receive the product I bought. I bought the following product: black zippo lighter with logo 24756zl, one was delivered without logo, not corresponding to the product I bought."
4,Positive Review
2,The post office don't know where the product is is I can't contact the store to get satisfaction about my purchase.
5,Positive Review
5,"I found the product great, arrived 20 days before the agreed !! congratulations!!!!!!"
5,very good
5,Positive Review
5,Positive Review
5,Positive Review
5,Positive Review
5,Positive Review
5,Product according to the announced and delivery before the deadline
5,satisfied
4,Positive Review
4,Had to come with assembly manual
5,Positive Review
5,Positive Review
5,Positive Review
5,Positive Review
4,Positive Review
4,I received the product from the partner within the promised deadline in perfect conditions. I recommend it. I would return to indicate and buy from it.
5,Positive Review
5,Positive Review
5,"Quick delivery, quality product!"
5,"For many years I have been a customer of Stark, and I have only seen more evolution of this store are to be congratulated"
2,Negative Review
1,"The order was 5 flaxseed vials, came 1st coconut. If I didn't have the 5, I shouldn't sell it. I'm 2 days trying to contact e_mail and no one responds. By phone and imposs"
5,The order arrived in perfect condition and well before the deadline!
4,"The table support is very good, but the lid is very fragile. Mine broke with me trying to open."
5,I recommend material with quality and very good price.
5,Good
3,"Excellent product, but there was a lot of delay in delivery."
1,"The product came faded, an aspect of old product and low quality, on the site it seems to be beautiful. If I had seen the product before I would certainly not buy.
I do not recommend."
5,Positive Review
1,Counterfeit product False authenticity code.
5,Good seller
5,Positive Review
5,Positive Review
5,Positive Review
5,Positive Review
4,Positive Review
4,Positive Review
5,Great product
5,"I completely recommend this site, product delivered correctly and before the deadline. Congratulations!!!"
5,"Help track one of the 3 shelves that was missing, only 2 of them arrived ..."
5,Positive Review
5,An excellent store and wonderful product
5,Positive Review
5,Positive Review
5,Positive Review
5,"Beautiful clock, very elegant, unbelievable in the amount of less than $ 150.00! It came very well wrapped and protected, outside that has also very chic box, as if it were jewel !!! Recommend"
5,Positive Review
4,Product is late
5,All very well
5,The product has arrived in 3 days.
4,All ok. I recommend! |
5,Show!
5,"My husband received it, I am in the interior and when the goods arrive I will check it out. I bought it and he can't confirm the order until I see. Kelly"
2,I bought nine chairs and arrived only 7 cade the rest?
5,Positive Review
5,Positive Review
5,Positive Review
4,Positive Review
3,Neutral Review
5,Positive Review
2,Too bad the dish came broken.
5,"I received before the deadline
Excellent material
Recommend"
1,My product only arrived the shampoo the conditioner did not come or you send me or return my money because I paid the view in the ticket and I also want the value of the freight that was expensive ... thanks
4,Positive Review
5,Positive Review
5,Positive Review
5,Good quality and beautiful product
5,Positive Review
5,Positive Review
4,All very well
5,Very good
5,Positive Review
5,Positive Review
3,Neutral Review
5,Positive Review
5,"Receive the clock on time, large and very beautiful."
4,Positive Review
4,Positive Review
5,Positive Review
4,Positive Review
5,Positive Review
2,"I bought 2 toner HP CE278a and only received 1 and still issued the invoice with 2 products. I am so far, waiting for the delivery of the second toner I have already contacted Targaryen and have not yet returned me"
5,OK
5,Positive Review
2,"Attractive price, but it takes too long and has no accompaniment via email from where the product is"
5,Positive Review
5,Positive Review
2,"regular product
But the prints are beautiful"
4,Positive Review
5,"Correct product and working perfectly, it came very well packed and protected, and arrived long before the deadline."
5,Positive Review
5,satisfied
2,Negative Review
2,I do not recommend that store
2,Negative Review
5,Positive Review
1,Negative Review
5,Positive Review
3,"Only one cover arrived on 08/27 and the other day 29/08, but it was in the tracking that I had already received both, in the end all right.
Thanks"
5,excellent
1,Product not delivered. Expired deadline.
4,Positive Review
1,"I did not receive the product, I already sent several emails without response..I want my money back"
1,Negative Review
5,Positive Review
1,"I purchased a cell phone and brushes. The sale of the mobile phone was canceled and apparently the purchase of the brushes had been approved, but I received one and mail that the purchase of the brushes was canceled also"
1,Negative Review
3,"All within the programmed ... Fast delivery ... Perfect receipt, I just can't evaluate the product, because I still installed."
5,Positive Review
5,Positive Review
5,Positive Review
3,"I received only the kettle, the trash was missing"
1,"I am very dissatisfied with this Targaryen store, I already paid the product and it was not delivered on time, I want you to deliver my product urgently !!! I hope Targaryen and Stark will solve it."
4,Very good
3,Neutral Review
5,Positive Review
4,Good product. But I ordered a base that has the green leds and came another completely different from that I bought and which was the ad.
5,"The product arrived well before the expected date, very good, thank you!"
5,Satisfied with the product I received
5,Positive Review
5,Great and arrived in good condition .. I did not replace the board but helps a lot in everyday life .. As I do not like to rip because I find it boring she helped me mt
1,The n carpet serves in the renegade
1,Negative Review
5,"I am pleased with the service provided. 
My order came in time for what I needed."
5,Positive Review
4,It arrived very fast
5,Original doll in perfect condition.
5,"The delivery service is very good, I will probably buy again."
5,Positive Review
5,Positive Review
5,Positive Review
3,"came only the mass of purchase, who I get in touch with?"
5,Positive Review
5,Positive Review
5,"I received even before the agreed deadline.
Thank you very much!"
1,Passed the deadline
5,Great quality product and arrived before the deadline.
5,Positive Review
5,Positive Review
5,I really liked the product and my kitten also liked it !! : D
5,Lannister is note 10 always.
1,"I placed an order, this was not delivered on time (40 days after purchase) and canceled my order. To compensate, they gave me the value in credit"
3,Neutral Review
1,Besides not delivering. I was not warned or refunded.
4,correct
5,Satisfied with delivery ... service and product
5,Very good product
1,I bought two boxes and received only one !!!
5,Positive Review
4,Positive Review
5,Positive Review
5,Positive Review
5,Positive Review
5,Positive Review
3,I really liked the bracelet
1,"Until the present, I did not receive the product I paid, I want to know how to proceed, to receive the money back"
5,"I received inks that were not original, immediately contacted the store and received the value back."
5,Positive Review
4,Positive Review
5,Positive Review
5,Excellent ... Fast Delivery
5,Quality product
5,Positive Review
5,Fast delivery and quality product !!!
3,Neutral Review
3,Neutral Review
5,Positive Review
5,Positive Review
5,"Product of great quality, attentive store delivered in advance to the stipulated deadline."
5,"I received the product as advertised, it works as promised."
2,"Good morning! 
I am dissatisfied with the second purchase, because it was to be delivered until 27/04/2017 and so far I did not receive it. I already finished paying and the merchandise was not delivered to me."
1,"The maximum delivery time would be April 27, and to date I have not received the product."
1,The order was canceled and could not use the credit !! I need a new voucher of my credit regarding this purchase.
5,Positive Review
5,Positive Review
5,Very beautiful and delicate curtain. I bought to put in my baby's room and it was perfect !! Super recommend !!!
5,Very good ! Arrived on time! I loved !
5,I recommend it to all
3,Neutral Review
5,All within the promised. The product is very good.
4,Positive Review
5,I recommend the store and the products are of great quality
5,Positive Review
5,Positive Review
4,Positive Review
3,Neutral Review
4,Good
5,Product delivered well before the deadline congratulations
5,Positive Review
5,Positive Review
5,Positive Review
1,You are all rolled not to be respectful with P CUSTOMER TODAY MY PRODUCT NOT BEEN SO ONLY LIE TO DELIVER THAT IT'S GOOD NO OVER 20 DAYS AND NOTHING DELIVERY
4,Positive Review
3,great store
4,Positive Review
5,Positive Review
5,Positive Review
5,"Great site, good prices."
5,Positive Review
1,"I didn't understand what happened. The site states that my order was delivered, however, did not arrive at my house."
4,Positive Review
5,Positive Review
5,Positive Review
5,Positive Review
5,"I received my product all right and before the deadline, I loved the company is from congratulations."
3,"As for the delivery and deadline of the product, everything went well. As the converter has been operated on intermittent noise. I would like to know if you can replace with another that does not make noise."
3,Neutral Review
5,Positive Review
3,"The product arrived in the correct color, and the expected quality, but I paid shipping to have the convenience of receiving my product at home and I had to look at the post office agencies."
5,Positive Review
5,Positive Review
4,Delivery ok
4,Positive Review
5,The best site to buy.
2,"The product is equal to the offer, but it is Xing Ling in Veja, it does not reach the promised 20000mah, I have a J5 and with the 100% load, gave 2 complete and a half refills from another. But as we are br, go to faith."
5,"I received the product and was very fast and delivery.
Great service."
5,Positive Review
5,Congratulations on the agility of delivery
5,"Great product, fast and super well packed delivery.super I recommend !!!"
3,Neutral Review
5,excellent
5,Positive Review
2,I made a request for three clocks and only two arrived. I'm waiting for the other and so far nothing. It's been three days since I received both watches.
5,"Good product, it was sent quickly"
4,Positive Review
5,Positive Review
5,Positive Review
1,Negative Review
1,They gave me only a shelf ... and I paid for three !!! I called Parw complain and so far nothing ...
5,Positive Review
5,Positive Review
5,"Good quality, it works perfectly."
5,The product was delivered before the established deadline and the very competitive value.
5,I recommend ... Mayor;
3,"It is upset, you buy the goods, pay the freight and have to venture to remove your goods. You go because you need the product because the desire is to give up the purchase."
5,Positive Review
1,"I paid the order, but after a while, I received an email saying that the product had been exhausted. If the product is over, they should pause the ad at the exact moment, I felt injured by it."
5,Positive Review
5,"Good, because it was delivered on time is I really liked the product."
5,Positive Review
3,Neutral Review
5,Great store. I recommend to all.
5,Very good
5,Positive Review
5,Positive Review
4,Positive Review
3,I bought 2 products in the store and I only received 1 I'm waiting for the other product. I confess that I did not understand
1,I was sent only one of the items. The fantasy purple quilt was not sent.
4,"I liked the product, but the sensor display is cracked in 2 parts, as it is a new product should not have these characteristics, as it is working right I let it pass."
3,Waiting for the other unit I acquired and paid.
5,"Good store I recommend, request arrived before the deadline."
1,Negative Review
5,Positive Review
5,excellent
5,Positive Review
1,"The mini scanner is not working, I need to exchange the product"
5,Positive Review
5,"I love to buy at Lannister, delivery very quickly and super recommend the site !!"
5,Positive Review
3,"Good morning.
The product I received is different from what the store shows as a photo.
I would like to return it and reversal the value of the card.
Thank you very much.
Att."
4,Positive Review
1,Negative Review
5,Positive Review
1,"2 items were purchased
Cachepot - Received
Buxinho - I didn't receive"
1,"I did not receive the product, I received an email from you canceling my order and I want my money back,"
5,Positive Review
2,Came with a small kneading on the battery lid! I did not complain because they would claim that it was poorly handled ... they would hardly replace me. I didn't want to buy the fight!
4,Positive Review
5,Positive Review
1,"I have not received my request, having already spent several days of the maximum deadline, not to mention that Lannister never responded to my messages, so I consider the company terrible."
4,Good afternoon! Is there a possibility to change the product? The brown did not match anything in my room. I would like to exchange for light beige or light gray. Please give me a return. Thanks in advance
5,Positive Review
5,Positive Review
5,Positive Review
5,I really liked
3,Neutral Review
5,Positive Review
1,Scratched product!
5,dfgadfgertterqt
5,Positive Review
2,I'm super satisfied .... super recommend
4,"Initially the request came incomplete, I passed a msg to Lannister (without receiving the answer), I received the rest of the order 2 days later."
5,Positive Review
5,I really liked the product and the delivery was quick too!
5,Positive Review
5,Positive Review
5,Positive Review
5,Great price and fast delivery
3,Neutral Review
3,Neutral Review
4,Positive Review
5,Positive Review
4,"Request arrived on time, product according to the advertised."
3,Neutral Review
5,Positive Review
4,Positive Review
4,Positive Review
5,Positive Review
5,"At first I was afraid.
I loved it, fast and practical.
Thanks."
4,Positive Review
4,"I prefer, buying as it was before, from the partner stores process it is very bad the goods do not arrive in only 1 day. Ends up hurting us, having to"
5,Positive Review
5,Positive Review
5,Positive Review
5,"Good product, I loved it"
5,Positive Review
3,Neutral Review
5,Positive Review
5,Very good to buy here
4,I recommend but need to improve product tracking
4,Product delivered well before the deadline. My daughter loved it.
5,I loved
1,I made the purchase and on the site had a date for delivery only that date was not fulfilled
5,Positive Review
5,I really liked
2,No comments ....
1,"When I focused with Lannister stores I found it great, more due to the lack of consideration in this last purchase I made I am very sad about the lack of attention to the customer. Until present date."
1,Product does not correspond with the product product
1,"In the ad said ""brand --- canon"" and I received a ""similar"" ""compatible"" product. If I wanted a fake/pirate product to buy in my city for 10 reais, I would not need to resort to the internet"
1,Bound product without response from the store
5,Positive Review
4,"I bought cartridge compatible with the deskjet 4580 printer, 21 ml colored cartridge.
I received with 17 ml and the packaging does not include the number of my deskjet. . What do I do?"
3,Arrived on time and as I expected super recommend
5,Positive Review
2,I did not receive the product that it returned to the sender. How do I get it to revive it?
5,Positive Review
5,Positive Review
4,Positive Review
4,The product arrived earlier than expected and in perfect condition! I recommend it a lot.
5,Positive Review
4,Too bad the perfume pump came with defect I had to take and put in another bottle
1,The image showed the original product but I received the inferior quality
2,Negative Review
5,Positive Review
5,Positive Review
5,Positive Review
3,Td corrreto
5,Positive Review
5,"I received before the expected deadline, it is great and will help me a lot in clinical practice. I recommend it!"
1,No
5,Positive Review
2,Negative Review
5,Positive Review
5,Positive Review
5,Very good product delivery well before the expected deadline I recommend yes.
4,Positive Review
5,Positive Review
5,Product delivered before the deadline. Show👏🏻👏🏻👏🏻👏🏻Stark always competent
5,Positive Review
5,EXCELLENT
4,Positive Review
2,"Bad quality product, it does not fit in the queen bed, which was the size purchased."
5,Positive Review
4,Positive Review
2,Negative Review
4,I loved...
5,OK
4,Positive Review
4,Positive Review
5,Good price and product.
5,exempt
3,Neutral Review
3,Neutral Review
5,Positive Review
2,It took time to deliver and when it arrived it was wrong.
3,I opened a request to return the product as it did not come the size I need.
5,Positive Review
5,Positive Review
3,"Good afternoon . I bought a hair cutting machine with six combs, received a machine with four combs. The service was fast. Early delivery. Just a flaw, I hope."
5,Positive Review
5,Positive Review
5,Positive Review
1,"I haven't received my product yet, I hope for a response from you, or the return of a valley to make another purchase 
It was supposed to have been delivered yesterday 11/04/18
It's nothing yet, I'm waiting for a respost"
3,Neutral Review
4,Positive Review
5,excellent
3,"I hate to receive goods by mail, because I end up wasting time to have to go to the agency to remove, because the mail does not have home delivery logistics, and everywhere and risk area"
4,Positive Review
5,Positive Review
4,Positive Review
5,Positive Review
5,Positive Review
5,Positive Review
3,Neutral Review
5,Positive Review
1,Negative Review
5,Positive Review
5,Positive Review
5,Positive Review
5,Positive Review
4,"Despite the inconvenience caused, I recommend and keep buying in this store, it cannot be evaluated as non -good, unforeseen events, still await delivery."
4,Positive Review
4,recommend
3,Neutral Review
5,Positive Review
4,Positive Review
5,Positive Review
5,Positive Review
5,Positive Review
5,Positive Review
1,Negative Review
2,Partial delivery.
4,Positive Review
5,Arrived before the deadline.
5,Positive Review
4,Positive Review
1,Negative Review
3,Neutral Review
4,Positive Review
5,Positive Review
5,Positive Review
5,Delivery made before the deadline
1,"The product delivered is different from the product purchased on the site and unlike product photo on the site, and it is not compatible with the Electrolux Ergoeasy Titan powder vacuum cleaner."
5,Positive Review
5,Price x Quality = Excellent
1,I canceled my order on 12/15/2017 and to this day I have not received my valley for the amount paid.
4,Positive Review
3,Neutral Review
4,"I recommend buying this product, very good."
5,Beautiful curtain. I loved the fabric
5,Positive Review
5,Saw all right product I lost thank you very much
5,I liked it delivered the right product and even before the deadline. very good!!
4,I just didn't give a maximum note because the lid of one of the pots came with a small kneaded
5,Positive Review
5,Positive Review
4,The product has arrived on time.
5,Positive Review
5,Positive Review
1,N I received the goods !!!
5,Positive Review
4,Positive Review
4,Positive Review
2,"The product was delivered correctly, but I found the delivery time very, very time consuming."
1,"Good product, but the delivery time first at the time of purchase was one, after the purchase stretched, then I got on a date I did not expect. I didn't like the lack of information."
4,"I really liked it, thanks ..."
4,Positive Review
5,Beautiful! And it arrived before the deadline.
1,"Delivery forecast until 06/04/2017, but to this date, 04/17/2017, the products have not been delivered"
5,Positive Review
3,Excellent
5,Positive Review
5,excellent
5,Positive Review
3,"The product is excellent, super fast delivery and the products came right."
1,Negative Review
3,Neutral Review
2,"The delivery was scheduled for the 16th. Then, postponed to the 23rd. And to this day, the product has not been delivered.
I want a position from the company regarding delivery or chargeback."
5,Positive Review
5,Positive Review
4,Positive Review
2,The delivery forecast was until 05/04 the order is late 4 days and if you want to have support from the store.
5,Positive Review
5,Positive Review
5,Positive Review
5,Positive Review
5,Excellent Perfect Clock
5,Positive Review
5,Positive Review
5,Positive Review
3,Neutral Review
5,Positive Review
5,Positive Review
5,"The product arrived before the deadline, with all phases of the process documented. Super recommend."
5,Positive Review
5,Positive Review
4,Positive Review
5,Very fast came .. and is excellent .. very good quality ..
3,Neutral Review
5,Easy purchase. Fast. Recommend
5,Positive Review
5,Positive Review
4,Positive Review
3,Neutral Review
5,"Very efficient, I received before the deadline"
5,Positive Review
4,Positive Review
5,Very good product ...
4,Positive Review
3,"Very good, deadline, delivery and product"
1,"I made the cancellation request at the same time I bought, and yet I was not reimbursed yet."
5,Very good came everything right we love came before the super indicated deadline ..
5,Positive Review
5,Positive Review
5,Positive Review
4,The mattress is very good. For those looking for a considerable height of mattress it is high. It is not a mat. And it gave it right in my detachable crib.
5,Positive Review
5,Excellent product
4,"I liked it, very practical, lightweight, it only has to evaluate the duration of the battery charge."
1,"The product was not delivered, but is paid"
5,"The carrier is excellent I received before the deadline but one of my products came with divergent color, I hope I have a return."
5,Great product
2,Negative Review
5,Positive Review
5,Positive Review
5,Positive Review
5,Positive Review
5,Positive Review
1,Negative Review
1,Shipping is not cheap to have to search in the mail does not warn the place where they do not deliver is total frustration shoptaime can ascertain this so that it does not happen with others
5,Cadiveu is wonderful !!!
4,"Safe purchase, delivery made correctly"
5,Positive Review
5,Positive Review
4,"Product has arrived earlier than expected, I recommend to all."
5,Thanks...
4,Positive Review
3,Fast and correct delivery
5,My favorite Sait
5,Positive Review
5,Top product
5,Positive Review
5,Positive Review
4,Positive Review
5,Positive Review
4,Positive Review
4,"Well, delivery before the deadline"
4,Positive Review
1,My product was not delivered.
3,Neutral Review
4,"The product was stolen from the post office vehicle. The seller has resumed a new product. I haven't received it, so I am evaluating the attitude of the store in contacting me and presenting a solution."
1,"I did not receive the complete delivery, only the base was lacked the cart and the baby comfort"
1,"I bought it with scheduled delivery for up to 12/29 and did not receive, I went to an American store and was informed that the product left BH on the 11th and arrived in RJ on the 17th .. until the 30th had not received any email."
5,"arrived fast, what I liked"
5,Positive Review
5,"Super fast delivery, long before the deadline. Product exactly as on the site. Very satisfied."
1,"I did not receive the purchased product, and no information from it, I am totally dissatisfied with this store."
5,Positive Review
5,"You are 11.
Thanks."
5,Positive Review
4,Positive Review
5,Positive Review
3,Neutral Review
5,Positive Review
5,"The product is great and was posted on the date. The delay in delivery was the fault of the post office, which they did not come to deliver, claiming that there was no one. Then they delivered the warning on the last day. I hardly received"
5,Positive Review
4,Positive Review
4,Positive Review
4,Positive Review
5,I loved this kit
4,Positive Review
5,Positive Review
5,Positive Review
1,Negative Review
5,Positive Review
1,"I bought an Oakley Minute Machine clock and arrived for the worst falsified clock and with the invoice on behalf of someone else.

I will go to court against you."
5,Positive Review
5,I loved!!
5,great service
5,Positive Review
5,Positive Review
1,"The Play 2 remote control is not Sonic as announced, the support did not come to leave the device standing as in the illusion, and the 90 -day warranty, what is that? The warranty has to be a year."
4,Positive Review
4,Positive Review
4,Positive Review
5,"Product delivered before the deadline, I loved it"
5,Positive Review
4,I recommend to all
1,"Hey goodnight!
I want to cancel my purchase, return the product and have my money reimbursed. Can you help me? Thank you very much."
3,Neutral Review
4,Positive Review
5,I liked it too much. Well into account and was delivered super fast. I certainly recommend it.
5,Product within expectations and super fast delivery.
5,"Delivery before the deadline, all ok"
5,"Satisfied with the quality of the product, it delivers despite the critical Christmas period, it arrived fast."
5,Positive Review
5,"Good product, good price and delivered on time. I REPRESENT !!!"
5,"Product delivered, tested and approved!"
4,I loved the very beautiful rug
4,Positive Review
5,Positive Review
5,"Great product, corresponded to expectations."
4,"In the request, showed the color blue and came yellow, but that's fine ...."
5,Positive Review
5,Positive Review
2,"I made a purchase on an order for a TV and an HDMI cable and came apart on delivery. TV arrived 1st and cable after 4 days, it was no use buying together."
5,"The product of great quality and the ideal size for my two -year -old.
Arrived before the deadline."
5,HH
5,"Like it arrived in time, and in good condition as requested
I recommend!
Mary"
5,Positive Review
3,Neutral Review
4,
3,Neutral Review
5,Positive Review
5,Positive Review
3,Neutral Review
5,Arrived before the deadline
4,Positive Review
5,"Product arrived fast, right. I recommend the store. Super professional, they kept constant contact until the items arrived."
5,Positive Review
5,"CORRECT PRODUCT, DELIVER BEFORE DATE. All perfect."
5,Positive Review
1,"I enjoyed buying at Lannister, shipping fast and no problem"
1,Negative Review
5,"Arrived on time, correct product."
5,Positive Review
4,Positive Review
5,Positive Review
4,"I requested the change of rug before delivery. However, it was for delivery I do not receive and my condominium received. The product has not been opened and need to exchange for a 3x2 carpet. I am waiting"
5,Great product and excellent product.
5,Positive Review
5,Positive Review
4,"Excellent product to use in everyday life, helps a lot in the correct posture."
5,Exempt
5,Positive Review
4,"I always bought in this store, I hope it is just a failure of the post office, I'm sure I had solved this situation of my product."
5,"Excellent, even better than I imagined, thanks"
3,"My order was 2 units from the same product and so far I only received one ....
As I bought the same product, I think the delivery would be at the same time, I will receive the other unit then ???"
5,Positive Review
1,"Two items purchased together, two freight paid, but only one of the items was delivered.
Since only a order number has been generated, now it is like as if everything had been delivered. Only not."
5,All is well
1,The remote control and a replica that is bought on any corner does not bring the name of the CCE brand I feel fooled!
4,VERY GOOD
5,As agreed
1,Negative Review
5,Positive Review
1,The application tools are not effective. I requested the conceiving of a purchase before the invoice was issued the request was accepted but it was not made. The product has arrived.
2,"I already made other purchases and received on time
Plus the mattress cover is taking very
I can know the reason for the femoral"
5,Sticker came before the deadline and came according to the photo! #recoming
4,Positive Review
5,Positive Review
4,Positive Review
5,I haven't tested it yet
1,The order made was 2 brushes kits and what was delivered was 1 brush kit and 1 scissors kit
5,Positive Review
4,Positive Review
1,Negative Review
5,Great product!
5,Positive Review
5,"Ease in purchase and
Rapid delivery"
2,Negative Review
5,Positive Review
5,"I really like the store and consume the products, but I just don't like to work with the post office to deliver my orders ...."
4,Only the freight value is not consistent.
1,I made the purchase and did not deliver to my house. I did the cancellation and I still get these emails filling the bag.
3,good
4,"For me I have diabetes, it is very good to lower the blood sugar rate ......."
5,"Perfect product, delivery on time and attentive to the customer."
5,Positive Review
5,Positive Review
5,Positive Review
4,Good
4,Positive Review
3,Yes
2,"The product has minor defects, being so expensive, should go through a better efficient and detailed screening."
4,Positive Review
